like1,PARM1,PARM5,PARM12,PARM15,PARM16,PARM17,PARM20,PARM22,PARM23,PARM25,PARM34,PARM39,PARM40,PARM42,PARM44,PARM49,PARM50,PARM51,PARM61,PARM73,PARM83,PARM87,PARM88,PARM89,PARM90,PARM91,PARM92,Flow(m3/s)-2000-1,Flow(m3/s)-2000-2,Flow(m3/s)-2000-3,Flow(m3/s)-2000-4,Flow(m3/s)-2000-5,Flow(m3/s)-2000-6,Flow(m3/s)-2000-7,Flow(m3/s)-2000-8,Flow(m3/s)-2000-9,Flow(m3/s)-2000-10,Flow(m3/s)-2000-11,Flow(m3/s)-2000-12,Flow(m3/s)-2001-1,Flow(m3/s)-2001-2,Flow(m3/s)-2001-3,Flow(m3/s)-2001-4,Flow(m3/s)-2001-5,Flow(m3/s)-2001-6,Flow(m3/s)-2001-7,Flow(m3/s)-2001-8,Flow(m3/s)-2001-9,Flow(m3/s)-2001-10,Flow(m3/s)-2001-11,Flow(m3/s)-2001-12,Flow(m3/s)-2002-1,Flow(m3/s)-2002-2,Flow(m3/s)-2002-3,Flow(m3/s)-2002-4,Flow(m3/s)-2002-5,Flow(m3/s)-2002-6,Flow(m3/s)-2002-7,Flow(m3/s)-2002-8,Flow(m3/s)-2002-9,Flow(m3/s)-2002-10,Flow(m3/s)-2002-11,Flow(m3/s)-2002-12,Flow(m3/s)-2003-1,Flow(m3/s)-2003-2,Flow(m3/s)-2003-3,Flow(m3/s)-2003-4,Flow(m3/s)-2003-5,Flow(m3/s)-2003-6,Flow(m3/s)-2003-7,Flow(m3/s)-2003-8,Flow(m3/s)-2003-9,Flow(m3/s)-2003-10,Flow(m3/s)-2003-11,Flow(m3/s)-2003-12,chain
-6510.2627,1.9088266,0.12124288,1.9631587,0.07689114,1.0348252,0.013092228,0.33456248,0.40002206,0.002949593,0.3566744,0.5846304,0.02504414,0.5363007,1.7391404,1.2905446,4.035556,0.21825056,0.87965906,0.29466143,0.33733255,0.9703189,0.4865928,0.13496792,0.1426747,6.741374,0.60613424,1.3395838,3.598229e-05,8.0701085e-08,1.9482478e-07,0.00015966022,4.235928e-06,4.1901058e-05,1.832518e-10,7.131e-14,6.47935e-08,0.00013161286,0.012684699,0.0053845095,0.0010319862,0.0006836903,0.0054403287,1.65712e-08,0.0001817845,0.00018092674,6.632313e-09,0.00830801,0.00048624488,0.0015101933,0.0023204712,0.012793062,2.7522741e-08,0.0017939961,0.0012475126,4.9660353e-05,0.00058133824,4.6217104e-07,0.00051545893,5.488926e-08,1.2027407e-08,0.010743535,0.0006665112,0.004684694,1.10844965e-07,0.0069228555,0.00030600998,8.70393e-09,0.00012764188,6.593258e-05,2.2160123e-07,8.8360544e-08,0.00014480171,0.0040341136,1.3770557e-05,1.4631986e-05,1.0
-4929.959,1.3479893,0.53850263,1.6139923,0.011970824,1.2040578,0.22136955,0.22876821,0.26725328,0.0031675138,0.8544209,0.5725111,0.000582954,0.91922736,0.87309456,1.5643148,1.7212139,0.24286985,0.6380285,0.74018043,0.5013927,7.9200583,0.9635922,0.4599788,0.5844194,6.002373,0.21767007,0.5969191,0.00082784204,3.785736e-05,8.44675e-05,0.0015443848,0.0012725382,0.0010923079,1.0578637e-10,6.35e-14,1.662317e-05,0.0013899776,0.019912625,0.0092317555,0.004088676,0.002424196,0.0045398865,5.591887e-07,0.0005108012,0.0009008918,5.5129035e-06,0.013236415,0.0017930923,0.0035757625,0.004498114,0.01772688,6.4001324e-05,0.0032915613,0.002918101,0.00066033954,0.0024349517,0.00055865635,0.0031964937,0.00036065205,7.0158174e-05,0.015890526,0.003060031,0.010640089,1.8226814e-05,0.009765652,0.0016500795,5.979568e-09,0.0010070485,0.0008491052,0.00046475627,0.00096939615,0.0025009622,0.009064528,0.0003790069,0.00024243043,2.0
-2522.5557,1.4179115,0.75946784,1.5774137,0.18652804,1.0134841,0.30556592,0.05169692,0.35721105,0.0031982607,1.6290549,0.5722953,0.01605051,0.9262611,1.8047168,1.2272717,9.832742,0.20336236,0.5397879,0.5478072,0.5277966,2.1256635,0.6573663,0.05796854,0.31769782,9.068479,0.23368578,1.3919383,0.0014853752,0.00018217735,0.0003682055,0.00094406557,0.0019896063,0.0011843131,2.108319e-10,9.593e-14,0.00029600124,0.0011009101,0.01611481,0.008011739,0.0027371938,0.0017916803,0.0036140576,8.169746e-06,0.00074923254,0.001255473,1.6387874e-05,0.011308573,0.001396495,0.0027482759,0.0039006313,0.015426442,0.000119688004,0.0025343162,0.0023884657,0.00050416973,0.0015358676,0.00025282288,0.0025034028,0.00036840554,3.7229463e-05,0.014743234,0.002267327,0.008129458,5.8286507e-05,0.007974178,0.0012052979,8.139823e-09,0.0011609965,0.00084405264,0.00021986321,0.0006237074,0.0015723146,0.007237653,0.0003343474,0.0004721197,3.0
-3435.7788,1.6098366,0.6985676,1.5968602,0.19983356,1.3403118,0.3499293,0.27658027,0.23868278,0.0024848923,1.8706481,0.5981028,0.019470762,0.5261938,2.2012515,1.0352856,14.337412,0.08302814,0.12014292,0.19339441,0.75860816,5.1946735,0.6884687,0.7389699,0.15979083,8.856114,0.6082525,0.3200883,0.0021388868,0.0001629881,0.00034240392,0.002325893,0.003092451,0.0026488015,2.0150628e-11,4.684e-14,0.00018108948,0.002032753,0.024036763,0.0098479595,0.0049653277,0.0028518497,0.0069986614,1.4066673e-08,0.00097627356,0.0026147384,2.4e-05,0.015286306,0.0018687649,0.005025879,0.0048641893,0.018606668,0.00028485857,0.0035778813,0.0043940665,0.0012980086,0.0028561673,0.00069271884,0.0040210206,0.0006838803,4.07522e-08,0.017648727,0.0039469204,0.013440587,8.442876e-05,0.013256928,0.002255681,7.743739e-09,0.002102928,0.0016355673,0.00079688994,0.00099453,0.001985108,0.00880762,0.00051234255,0.0006284024,4.0
-2292.1099,1.3369434,0.32740182,1.7299093,0.19092605,1.1823024,0.47045416,0.15896308,0.20169692,0.0028859566,1.817879,0.5343692,0.017073845,0.38107896,0.88243234,1.0497084,4.939003,0.24325179,0.38097513,0.6283505,0.34577903,2.6538239,0.18479048,0.84918004,0.22367395,9.782463,0.39537746,1.0544263,0.00049317034,2.9730742e-05,6.4797778e-06,0.00078995095,0.00069504674,0.0010931006,3.0530412e-10,1.035e-13,1.2579675e-05,0.00086085004,0.017111987,0.0065069133,0.0020493786,0.002136845,0.006904863,1.7561517e-08,0.0003603699,0.00066358974,7.118608e-09,0.011655126,0.0012777542,0.002651386,0.003554349,0.013781833,7.851169e-06,0.0021469889,0.002043758,0.00038168544,0.0014007053,0.00022632386,0.0021597613,0.00016573133,5.2874753e-08,0.01329062,0.0015412692,0.0075232843,3.713116e-06,0.0078115663,0.0009176449,9.659403e-09,0.0005516484,0.00063599803,0.00015476593,0.00041629327,0.0013679697,0.0070823445,0.00021077899,0.00014996999,5.0
-1651.6353,1.8515645,0.52864105,2.4706588,0.056521002,1.4071302,0.12764932,0.3302857,0.2864059,0.0031450912,0.49627727,0.54125357,0.0734927,0.58505464,1.7663256,1.9311589,0.4875513,0.16556221,0.58010954,0.90462106,0.49441305,3.2488983,0.37112814,0.19511984,0.5418873,3.4761057,0.83076984,1.5097628,0.0001920927,5.1715396e-08,1.2207929e-07,7.705214e-05,7.6960685e-05,2.6530592e-05,1.0809907e-10,3.678e-14,4.6189495e-08,0.00016238843,0.011954595,0.005069971,0.0004519354,0.0038901342,0.005743501,1.1484826e-08,0.00010037017,0.00019890448,5.3857647e-09,0.008706566,0.00048023523,0.0018542743,0.0022046918,0.013160514,2.5802775e-08,0.0012779317,0.0010387886,5.5849473e-06,0.00045842162,1.1314748e-05,0.0005980163,1.1430904e-05,1.2110243e-08,0.010812828,0.0005268998,0.0045391363,6.5401e-08,0.006816631,0.000283355,6.28245e-09,2.6421725e-05,5.1350984e-05,1.4790531e-07,0.000109074805,0.0004048681,0.0044969316,1.4622315e-06,4.76684e-05,6.0
-1947.2385,1.5582078,0.30789495,2.2248232,0.044063166,1.4805855,0.15011449,0.17463778,0.050760604,0.0023191778,1.1321698,0.55660164,0.09981435,0.020570386,1.5873936,1.6869735,10.06988,0.08894176,0.21120507,0.7413535,0.35409042,9.436104,0.23598576,0.38616472,0.84464514,2.272544,0.97745216,0.30931795,0.003089884,0.0005931472,0.001556932,0.0028727613,0.0037079148,0.0035888797,1.5401155e-12,4.62e-15,0.00043906103,0.0031793283,0.026197791,0.012186874,0.0071881902,0.0042853737,0.008817925,1.5306292e-05,0.0015502908,0.0026584526,4.5580644e-05,0.017177006,0.0032060153,0.0055821,0.0068796608,0.019519564,0.0005129,0.0033304563,0.0042232517,0.0014053705,0.004183662,0.0014956453,0.0051457444,0.00069032446,3.5573394e-05,0.020682987,0.0041381894,0.016554873,0.0003841968,0.014023016,0.0024131914,1.78608e-09,0.00281936,0.00224004,0.001027746,0.0010394327,0.0034878652,0.011553148,0.0007761763,0.000862057,7.0
-3445.8892,1.4011465,0.93928456,2.2358623,0.040947396,1.4892608,0.4312971,0.23738024,0.08076683,0.0030061265,1.1317738,0.51839405,0.051958375,0.42308822,1.2371408,1.9752513,2.211995,0.14094123,0.63667685,0.66841257,0.7293565,9.310478,0.6793278,0.8180839,0.83033854,5.4677324,0.4073536,1.2326868,0.0009560721,1.7091988e-05,3.8180992e-06,0.00065979373,0.00076151895,0.0005890856,2.6394267e-10,5.784e-14,5.72675e-05,0.00048285932,0.015406466,0.00708077,0.0018470798,0.0047619664,0.007333951,0.0011221153,0.0004315915,0.0009223263,1.1900994e-05,0.0128877,0.0010096619,0.0022361153,0.0031408577,0.014102737,2.245093e-05,0.0019976355,0.0026301944,0.00038435642,0.0014684378,0.00012294432,0.0016658702,9.7435215e-05,3.2634667e-08,0.01385913,0.0017069277,0.00777629,8.1562256e-08,0.0070820004,0.0016749848,1.1018017e-08,0.0004139031,0.0003838154,5.888884e-05,0.000431342,0.0015582495,0.007184727,0.00018014299,0.00028819175,8.0
-45482.42,1.2861868,0.569429,2.1738462,0.28401622,1.1471397,0.36656144,0.26389,0.45319244,0.0023994837,0.5188006,0.5387636,0.069700114,0.41532886,1.1660938,1.3458647,12.5093975,0.19690196,0.7229661,0.053473633,0.8434823,5.3943954,0.5073729,0.8297768,0.55315155,4.7934723,0.09675603,1.682884,0.00011985474,3.0619424e-07,1.3792878e-07,0.0001787185,8.333422e-05,9.319583e-05,1.9166806e-10,5.071e-14,6.240204e-08,0.00027358878,0.011894812,0.0048106774,0.0053088088,0.0051358,0.0067721023,0.0002663106,0.00014819455,0.00017174415,5.4015774e-09,0.0083427355,0.0003815879,0.0015975074,0.0021937496,0.011630722,0.00015369483,0.0020444156,0.0013046172,6.342253e-05,0.0003232628,5.512633e-08,0.00029867428,5.4510365e-06,2.3644056e-08,0.009728641,0.0006132302,0.0043806545,9.783387e-08,0.0068177916,0.0078067887,5.499653e-09,0.00011363371,2.3546803e-05,5.605644e-08,8.405045e-05,0.00040291614,0.0035385694,3.607228e-05,1.5348563e-05,9.0
-5259.5728,1.3906771,0.0047924565,2.230847,0.03962079,1.0037782,0.06377806,0.11852237,0.40238723,0.0028960903,0.028688744,0.5077834,0.065139316,0.14939137,1.722763,1.3698826,11.106278,0.29647562,0.8716809,0.22359884,0.32273948,6.853579,0.34118167,0.13730286,0.1812688,5.759672,0.65224594,1.0525936,0.0014620337,0.00012496494,0.00023533037,0.00087592076,0.0015080016,0.00097598956,1.1704313e-10,6.093e-14,9.5540134e-05,0.0011797226,0.017697092,0.008120338,0.0033382794,0.002717354,0.007849056,0.00037416018,0.0007026841,0.0013732113,3.3720025e-06,0.011236846,0.0012606574,0.0027860848,0.004401293,0.017569453,0.00042914035,0.003056687,0.0025775186,0.00067172607,0.0019680904,0.00013759539,0.0021003683,0.00015136467,4.00822e-06,0.015014566,0.0024415504,0.009869469,4.6204343e-05,0.009566234,0.0014013774,2.2806705e-09,0.0014125982,0.00046078372,0.00018305506,0.00021510813,0.0013648676,0.0075523756,0.00029653843,0.00039807567,0.0
